signal_time,entry_time,exit_time,dir,entry,exit,qty,gross_pnl,fees,funding,pnl,hold_hours,bars_held,reason
2024-09-16 12:00:00+00:00,2024-09-16 16:00:00+00:00,2024-09-17 12:00:00+00:00,short,57887.2107,60099.30879280492,0.08179656106875996,-180.94201673820487,-4.342901196142645,1.1719863446649486,-184.11293158968255,20.0,5,stop
2024-09-18 20:00:00+00:00,2024-09-19 00:00:00+00:00,2024-09-24 04:00:00+00:00,long,61825.181899999996,63160.683300000004,0.054419140203728254,72.67683792887583,-3.060730494811386,-6.870606158901799,62.745501275162646,124.0,30,max_hold_time
2024-09-24 00:00:00+00:00,2024-09-24 04:00:00+00:00,2024-09-29 08:00:00+00:00,long,63173.316699999996,65472.4521,0.07566693730865094,173.9685341759006,-4.380404095265762,-14.130512972737732,155.4576171078971,124.0,30,max_hold_time
2024-09-29 04:00:00+00:00,2024-09-29 08:00:00+00:00,2024-09-30 08:00:00+00:00,long,65485.5479,63645.44750084004,0.09892882226142921,-182.03896533168037,-5.748649781603011,-7.378107693637541,-195.1657228069209,24.0,6,stop
2024-10-06 12:00:00+00:00,2024-10-06 16:00:00+00:00,2024-10-09 16:00:00+00:00,long,62712.270599999996,61615.32857251375,0.09550809859019098,-104.76684730888071,-5.343431669662585,-5.389526778849406,-115.49980575739269,72.0,18,trailing_stop
2024-10-11 12:00:00+00:00,2024-10-11 16:00:00+00:00,2024-10-16 20:00:00+00:00,long,62250.2244,67755.2238,0.07118762334282187,391.88782378966096,-4.164650495539353,-6.241608964360043,381.4815643297615,124.0,30,max_hold_time
2024-10-16 16:00:00+00:00,2024-10-16 20:00:00+00:00,2024-10-21 12:00:00+00:00,long,67768.7762,67365.95620499252,0.06162185575846606,-24.82251562897681,-3.747263844698711,-6.235426580530085,-34.805206054205605,112.0,28,trailing_stop
2024-10-21 12:00:00+00:00,2024-10-21 16:00:00+00:00,2024-10-23 16:00:00+00:00,long,67401.7395,65405.22265275671,0.09149207084938377,-182.66546083997096,-5.46785279575715,-3.937279515842459,-192.07059315157056,48.0,12,stop
2024-10-24 00:00:00+00:00,2024-10-24 04:00:00+00:00,2024-10-25 16:00:00+00:00,long,67264.7258,66037.87182493521,0.07633300362547565,-93.64944892654988,-4.578924450505276,-2.312773849401381,-100.54114722645654,36.0,9,trailing_stop
2024-10-27 00:00:00+00:00,2024-10-27 04:00:00+00:00,2024-10-31 16:00:00+00:00,long,67285.7279,70440.00676656175,0.08021664857415317,253.02567934386252,-4.9715535858140925,-10.106447395848738,237.9476783621997,108.0,27,trailing_stop
2024-10-31 16:00:00+00:00,2024-10-31 20:00:00+00:00,2024-11-03 12:00:00+00:00,long,70117.011,67523.24041633743,0.06985657543813518,-181.19193044684013,-4.32678447287517,-5.532628182549617,-191.05134310226492,64.0,16,stop
2024-11-05 12:00:00+00:00,2024-11-05 16:00:00+00:00,2024-11-06 00:00:00+00:00,long,69666.966,69389.177,0.06264446846300285,-17.40194424986937,-3.9199941741376416,-0.43369078739279193,-21.755629211399803,8.0,2,trailing_stop
2024-11-06 00:00:00+00:00,2024-11-06 04:00:00+00:00,2024-11-11 08:00:00+00:00,long,74438.4431,81191.88,0.041920997458796,283.1108111230392,-2.9358802706340157,-15.479435728909214,264.69549512349596,124.0,30,max_hold_time
2024-11-11 12:00:00+00:00,2024-11-11 16:00:00+00:00,2024-11-16 20:00:00+00:00,long,84127.41189999999,91173.8817,0.043055009785871075,303.38582619484527,-3.396419510140736,-22.714640187895117,277.27476649680943,124.0,30,max_hold_time
2024-11-16 16:00:00+00:00,2024-11-16 20:00:00+00:00,2024-11-22 00:00:00+00:00,long,91192.1183,98409.1581,0.033528909561807464,241.979474758165,-2.8607058221484873,-19.139261412474987,219.97950752354154,124.0,30,max_hold_time
2024-11-21 20:00:00+00:00,2024-11-22 00:00:00+00:00,2024-11-25 20:00:00+00:00,long,98428.8419,93272.61490851663,0.03719782960480522,-191.800453032896,-3.208895156410258,-17.725396069212934,-212.73474425851919,92.0,23,stop
2024-11-27 12:00:00+00:00,2024-11-27 16:00:00+00:00,2024-12-02 08:00:00+00:00,long,95674.5665,94943.78244038978,0.036382255051549156,-26.587572044345446,-3.1208064248945053,-9.936126730177413,-39.64450519941737,112.0,28,trailing_stop
2024-12-16 12:00:00+00:00,2024-12-16 16:00:00+00:00,2024-12-18 20:00:00+00:00,long,106480.647,101748.49408599478,0.03949951833973437,-186.91776081317644,-3.701227849737024,-7.130229811347947,-197.74921847426143,52.0,13,stop
2024-12-24 12:00:00+00:00,2024-12-24 16:00:00+00:00,2024-12-29 20:00:00+00:00,long,98328.8319,93599.6391,0.030331673982048037,-143.44433420784904,-2.6196803146102323,-5.054649073911611,-151.11866359637088,124.0,30,max_hold_time
2025-01-04 04:00:00+00:00,2025-01-04 08:00:00+00:00,2025-01-06 12:00:00+00:00,long,98308.8299,98730.07644719143,0.05464604888929335,23.01945941226906,-4.845328969203682,-3.5274601286701,14.64667031439528,52.0,13,trailing_stop
2025-01-06 12:00:00+00:00,2025-01-06 16:00:00+00:00,2025-01-07 12:00:00+00:00,long,102135.2125,98745.28438344142,0.05327723775089993,-180.60600622435138,-4.81606109639011,-1.3538332162118931,-186.77590053695337,20.0,5,stop
2025-01-07 12:00:00+00:00,2025-01-07 16:00:00+00:00,2025-01-08 16:00:00+00:00,long,98083.8074,94093.10476068006,0.04423804300445461,-176.54087497622638,-3.8256887270823574,-3.2647539790419255,-183.63131768235067,24.0,6,stop
2025-01-16 04:00:00+00:00,2025-01-16 08:00:00+00:00,2025-01-19 20:00:00+00:00,long,99818.9809,101688.74519213963,0.03867905728444104,72.32072016407122,-3.5073579963488952,-5.9771023066139986,62.83625986110832,84.0,21,trailing_stop
2025-01-19 20:00:00+00:00,2025-01-20 00:00:00+00:00,2025-01-20 16:00:00+00:00,long,101378.1368,100578.29097357612,0.02942223997772902,-23.533255850228166,-2.6739047173495747,-4.549547044154867,-30.756707611732608,16.0,4,trailing_stop
2025-01-21 04:00:00+00:00,2025-01-21 08:00:00+00:00,2025-01-26 12:00:00+00:00,long,102108.2098,104820.5169,0.019700688344840005,53.4343168725969,-1.8344872594400727,-4.514654442065865,47.08517517109097,124.0,30,max_hold_time
2025-02-03 16:00:00+00:00,2025-02-03 20:00:00+00:00,2025-02-05 20:00:00+00:00,long,101914.19039999999,97431.2559,0.025043936272529536,-112.27032593192378,-2.2465775940102715,-1.6566320662347769,-116.17353559216883,48.0,11,ema_inverse_next_open
2025-02-26 16:00:00+00:00,2025-02-26 20:00:00+00:00,2025-03-01 04:00:00+00:00,short,83842.6149,85847.57558203796,0.029860761740128812,-59.86965322466156,-2.2801852564295437,1.2272690032384683,-60.92256947785264,56.0,14,trailing_stop
2025-03-01 04:00:00+00:00,2025-03-01 08:00:00+00:00,2025-03-02 16:00:00+00:00,short,84663.5328,91351.7068883583,0.02547157833052241,-170.35835017978866,-2.017523684289463,-0.15468371373459122,-172.53055757781271,32.0,8,stop
2025-03-03 16:00:00+00:00,2025-03-03 20:00:00+00:00,2025-03-05 08:00:00+00:00,short,85570.4421,90562.44440901106,0.02187480100062087,-109.1990571042569,-1.7337923289223007,-0.054227057073266416,-110.98707649025246,36.0,9,trailing_stop
2025-03-09 12:00:00+00:00,2025-03-09 16:00:00+00:00,2025-03-14 12:00:00+00:00,short,83064.6927,83600.39853532513,0.029963316144320677,-16.051523304204384,-2.2472274685077434,2.750272128764912,-15.548478643947213,116.0,29,trailing_stop
2025-03-28 04:00:00+00:00,2025-03-28 08:00:00+00:00,2025-04-01 08:00:00+00:00,short,85170.4821,84335.41632956956,0.05392324335475363,45.02945475614502,-4.113138514987724,2.9269739858594948,43.843290227016794,96.0,24,trailing_stop
2025-04-01 08:00:00+00:00,2025-04-01 12:00:00+00:00,2025-04-02 12:00:00+00:00,short,83879.6112,86896.82682359402,0.05501422520121383,-165.98977979702224,-4.227810039221012,-0.3139386922959118,-170.53152852853916,24.0,6,stop
2025-04-02 20:00:00+00:00,2025-04-03 00:00:00+00:00,2025-04-07 12:00:00+00:00,short,82475.7516,79888.73629470833,0.034715449440168605,89.8093990317954,-2.536450276674427,2.678545285966206,89.95149404108717,108.0,27,trailing_stop
2025-04-07 12:00:00+00:00,2025-04-07 16:00:00+00:00,2025-04-09 16:00:00+00:00,short,78500.1492,80712.15588068342,0.028092576914684992,-62.14096781289608,-2.012707766809526,1.2038304867389067,-62.9498450929667,48.0,12,trailing_stop
2025-04-10 12:00:00+00:00,2025-04-10 16:00:00+00:00,2025-04-12 12:00:00+00:00,short,78778.1214,85204.55406166933,0.025259881465943296,-162.33092728263372,-1.8639823250835073,1.1410519955203235,-163.0538576121969,44.0,11,stop
2025-04-21 08:00:00+00:00,2025-04-21 12:00:00+00:00,2025-04-23 04:00:00+00:00,long,86944.6936,94243.91183096023,0.03251445332352346,237.33009046876805,-2.6510618043176692,-0.6943987479438577,233.98462991650652,40.0,10,profit_target_50pct
